Account Number,Explanation,Label,Gl Account String,Document Number,Document Type,Invoice_,Doc Number,Total,Invoice,address book name,business unit number,Fund,Jl Effective Date,GL Date,Credit,Debit,Sub Acct Ty Cd,Sub Acct Type,Sub Account,Batch Type,Batch Num,Batch Date,Line Number,Address Book #,Calculation 2,Vendor,Invoice Number,Invoice Date,Payment Date,Business Unit,Object Account,Object Account Descr,Je Category Name,Receipt Num,Business Unit Title (from Business Unit),Calculation,Created,JE Category Name_,last updated by
Journal: $896.4 (20241122) ,Journal Import Created,53902028.501103.0.R.R240490.30216.053.0.0.0,53902028.501103.0.R.R240490.30216.053.0.0.0,153269,Journal,,153269,$896.40,,,53902028,30216,11/22/2024,11/22/2024,,$896.40,R,4% Resolution,R240490,Journal Batch,BW Costing 112724 Main Payroll A 301024 7572206,11/22/2024,7099,,"""""",,,,,53902028,Holiday Pay,Holiday Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $160.52 (20250523) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,166714,Journal,,166714,$160.52,,,53902028,30216,5/23/2025,5/23/2025,,$160.52,R,4% Resolution,R240490,Journal Batch,BW Costing 053025 Main Payroll A 306437 8372680,5/23/2025,6548,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $686.39 (20250606) ,Journal Import Created,53902028.501172.0.R.R240490.30216.053.0.0.0,53902028.501172.0.R.R240490.30216.053.0.0.0,168467,Journal,,168467,$686.39,,,53902028,30216,6/6/2025,6/6/2025,,$686.39,R,4% Resolution,R240490,Journal Batch,BW Costing 061325 Main Payroll A 306919 8467339,6/6/2025,7109,,"""""",,,,,53902028,Employer OASDI,Employer OASDI,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $933.22 (20250328) ,Journal Import Created,53902028.501174.0.R.R240490.30216.053.0.0.0,53902028.501174.0.R.R240490.30216.053.0.0.0,162417,Journal,,162417,$933.22,,,53902028,30216,3/28/2025,3/28/2025,,$933.22,R,4% Resolution,R240490,Journal Batch,BW Costing 040425 Main Payroll A 305208 8127935,3/28/2025,6579,,"""""",,,,,53902028,Employer Group Health,Employer Group Health,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $271.68 (20250117) ,Journal Import Created,53902028.501104.0.R.R240490.30216.053.0.0.0,53902028.501104.0.R.R240490.30216.053.0.0.0,157397,Journal,,157397,$271.68,,,53902028,30216,1/17/2025,1/17/2025,,$271.68,R,4% Resolution,R240490,Journal Batch,BW Costing 012425 Main Payroll A 303314 7840208,1/17/2025,6509,,"""""",,,,,53902028,Overtime Pay,Overtime Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $149.47 (20250117) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,157397,Journal,,157397,$149.47,,,53902028,30216,1/17/2025,1/17/2025,,$149.47,R,4% Resolution,R240490,Journal Batch,BW Costing 012425 Main Payroll A 303314 7840208,1/17/2025,6512,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $688.33 (20250411) ,Journal Import Created,53902028.501172.0.R.R240490.30216.053.0.0.0,53902028.501172.0.R.R240490.30216.053.0.0.0,163397,Journal,,163397,$688.33,,,53902028,30216,4/11/2025,4/11/2025,,$688.33,R,4% Resolution,R240490,Journal Batch,BW Costing 041825 Main Payroll A 305486 8189060,4/11/2025,6533,,"""""",,,,,53902028,Employer OASDI,Employer OASDI,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $160.53 (20250620) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,168384,Journal,,168384,$160.53,,,53902028,30216,6/20/2025,6/20/2025,,$160.53,R,4% Resolution,R240490,Journal Batch,BW Costing 062725 Main Payroll A 306899 8463802,6/20/2025,6951,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $245.48 (20250314) ,Journal Import Created,53902028.501102.0.R.R240490.30216.053.0.0.0,53902028.501102.0.R.R240490.30216.053.0.0.0,161243,Journal,,161243,$245.48,,,53902028,30216,3/14/2025,3/14/2025,,$245.48,R,4% Resolution,R240490,Journal Batch,BW Costing 032125 Main Payroll A 304539 8064797,3/14/2025,6567,,"""""",,,,,53902028,Leave Pay,Leave Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,VIJAY.LAL@NASHVILLE.GOV
Journal: $1148.81 (20250620) ,Journal Import Created,53902028.501177.0.R.R240490.30216.053.0.0.0,53902028.501177.0.R.R240490.30216.053.0.0.0,168384,Journal,,168384,$1148.81,,,53902028,30216,6/20/2025,6/20/2025,,$1148.81,R,4% Resolution,R240490,Journal Batch,BW Costing 062725 Main Payroll A 306899 8463802,6/20/2025,6955,,"""""",,,,,53902028,Employer Pension,Employer Pension,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $933.22 (20250314) ,Journal Import Created,53902028.501174.0.R.R240490.30216.053.0.0.0,53902028.501174.0.R.R240490.30216.053.0.0.0,161243,Journal,,161243,$933.22,,,53902028,30216,3/14/2025,3/14/2025,,$933.22,R,4% Resolution,R240490,Journal Batch,BW Costing 032125 Main Payroll A 304539 8064797,3/14/2025,6571,,"""""",,,,,53902028,Employer Group Health,Employer Group Health,Payroll,,,"""""",7/9/2025 9:10am,Payroll,VIJAY.LAL@NASHVILLE.GOV
Journal: $11173.13 (20250425) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,164214,Journal,,164214,$11173.13,,,53902028,30216,4/25/2025,4/25/2025,,$11173.13,R,4% Resolution,R240490,Journal Batch,BW Costing 050225 Main Payroll A 305688 8230428,4/25/2025,6604,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $22.68 (20250131) ,Journal Import Created,53902028.501176.0.R.R240490.30216.053.0.0.0,53902028.501176.0.R.R240490.30216.053.0.0.0,158618,Journal,,158618,$22.68,,,53902028,30216,1/31/2025,1/31/2025,,$22.68,R,4% Resolution,R240490,Journal Batch,BW Costing 020725 Main Payroll A 303718 7913522,1/31/2025,7094,,"""""",,,,,53902028,Employer Group Life,Employer Group Life,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $377 (20250523) ,Journal Import Created,53902028.501102.0.R.R240490.30216.053.0.0.0,53902028.501102.0.R.R240490.30216.053.0.0.0,166714,Journal,,166714,$377.00,,,53902028,30216,5/23/2025,5/23/2025,,$377.00,R,4% Resolution,R240490,Journal Batch,BW Costing 053025 Main Payroll A 306437 8372680,5/23/2025,6546,,"""""",,,,,53902028,Leave Pay,Leave Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $9.27 (20250314) ,Journal Import Created,53902028.501104.0.R.R240490.30216.053.0.0.0,53902028.501104.0.R.R240490.30216.053.0.0.0,161243,Journal,,161243,$9.27,,,53902028,30216,3/14/2025,3/14/2025,,$9.27,R,4% Resolution,R240490,Journal Batch,BW Costing 032125 Main Payroll A 304539 8064797,3/14/2025,6568,,"""""",,,,,53902028,Overtime Pay,Overtime Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,VIJAY.LAL@NASHVILLE.GOV
Journal: $160.53 (20250606) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,168467,Journal,,168467,$160.53,,,53902028,30216,6/6/2025,6/6/2025,,$160.53,R,4% Resolution,R240490,Journal Batch,BW Costing 061325 Main Payroll A 306919 8467339,6/6/2025,7110,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $0.95 (20250606) ,Journal Import Created,53902028.501182.0.R.R240490.30216.053.0.0.0,53902028.501182.0.R.R240490.30216.053.0.0.0,168467,Journal,,168467,$0.95,,,53902028,30216,6/6/2025,6/6/2025,,$0.95,R,4% Resolution,R240490,Journal Batch,BW Costing 061325 Main Payroll A 306919 8467339,6/6/2025,7115,,"""""",,,,,53902028,Cafe Plan Pre-Tax Savings,Cafe Plan Pre-Tax Savings,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $44.71 (20250117) ,Journal Import Created,53902028.501175.0.R.R240490.30216.053.0.0.0,53902028.501175.0.R.R240490.30216.053.0.0.0,157397,Journal,,157397,$44.71,,,53902028,30216,1/17/2025,1/17/2025,,$44.71,R,4% Resolution,R240490,Journal Batch,BW Costing 012425 Main Payroll A 303314 7840208,1/17/2025,6514,,"""""",,,,,53902028,Employer Dental Group,Employer Dental Group,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $830.32 (20250228) ,Journal Import Created,53902028.501174.0.R.R240490.30216.053.0.0.0,53902028.501174.0.R.R240490.30216.053.0.0.0,160275,Journal,,160275,$830.32,,,53902028,30216,2/28/2025,2/28/2025,,$830.32,R,4% Resolution,R240490,Journal Batch,BW Costing Main 03072025 Payroll A 304252 8003902,2/28/2025,7092,,"""""",,,,,53902028,Employer Group Health,Employer Group Health,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $796.22 (20250509) ,Journal Import Created,53902028.501102.0.R.R240490.30216.053.0.0.0,53902028.501102.0.R.R240490.30216.053.0.0.0,165703,Journal,,165703,$796.22,,,53902028,30216,5/9/2025,5/9/2025,,$796.22,R,4% Resolution,R240490,Journal Batch,BW Costing 051625 Main Payroll A 306143 8310732,5/9/2025,6644,,"""""",,,,,53902028,Leave Pay,Leave Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $1141.88 (20250620) ,Journal Import Created,53902028.501103.0.R.R240490.30216.053.0.0.0,53902028.501103.0.R.R240490.30216.053.0.0.0,168384,Journal,,168384,$1141.88,,,53902028,30216,6/20/2025,6/20/2025,,$1141.88,R,4% Resolution,R240490,Journal Batch,BW Costing 062725 Main Payroll A 306899 8463802,6/20/2025,6949,,"""""",,,,,53902028,Holiday Pay,Holiday Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $933.22 (20250214) ,Journal Import Created,53902028.501174.0.R.R240490.30216.053.0.0.0,53902028.501174.0.R.R240490.30216.053.0.0.0,158616,Journal,,158616,$933.22,,,53902028,30216,2/14/2025,2/14/2025,,$933.22,R,4% Resolution,R240490,Journal Batch,BW Costing 022125 Main Payroll A 303717 7912998,2/14/2025,6568,,"""""",,,,,53902028,Employer Group Health,Employer Group Health,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $764.88 (20250117) ,Journal Import Created,53902028.501102.0.R.R240490.30216.053.0.0.0,53902028.501102.0.R.R240490.30216.053.0.0.0,157397,Journal,,157397,$764.88,,,53902028,30216,1/17/2025,1/17/2025,,$764.88,R,4% Resolution,R240490,Journal Batch,BW Costing 012425 Main Payroll A 303314 7840208,1/17/2025,6508,,"""""",,,,,53902028,Leave Pay,Leave Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $10622.39 (20250509) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,165703,Journal,,165703,$10622.39,,,53902028,30216,5/9/2025,5/9/2025,,$10622.39,R,4% Resolution,R240490,Journal Batch,BW Costing 051625 Main Payroll A 306143 8310732,5/9/2025,6643,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $10479.99 (20250328) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,162417,Journal,,162417,$10479.99,,,53902028,30216,3/28/2025,3/28/2025,,$10479.99,R,4% Resolution,R240490,Journal Batch,BW Costing 040425 Main Payroll A 305208 8127935,3/28/2025,6575,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $933.22 (20250411) ,Journal Import Created,53902028.501174.0.R.R240490.30216.053.0.0.0,53902028.501174.0.R.R240490.30216.053.0.0.0,163397,Journal,,163397,$933.22,,,53902028,30216,4/11/2025,4/11/2025,,$933.22,R,4% Resolution,R240490,Journal Batch,BW Costing 041825 Main Payroll A 305486 8189060,4/11/2025,6535,,"""""",,,,,53902028,Employer Group Health,Employer Group Health,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $245.48 (20250425) ,Journal Import Created,53902028.501102.0.R.R240490.30216.053.0.0.0,53902028.501102.0.R.R240490.30216.053.0.0.0,164214,Journal,,164214,$245.48,,,53902028,30216,4/25/2025,4/25/2025,,$245.48,R,4% Resolution,R240490,Journal Batch,BW Costing 050225 Main Payroll A 305688 8230428,4/25/2025,6605,,"""""",,,,,53902028,Leave Pay,Leave Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $7795.27 (20250620) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,168384,Journal,,168384,$7795.27,,,53902028,30216,6/20/2025,6/20/2025,,$7795.27,R,4% Resolution,R240490,Journal Batch,BW Costing 062725 Main Payroll A 306899 8463802,6/20/2025,6947,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $111.54 (20241206) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,154422,Journal,,154422,$111.54,,,53902028,30216,12/6/2024,12/6/2024,,$111.54,R,4% Resolution,R240490,Journal Batch,BW Costing 121324 Main Payroll A 301415 7639834,12/6/2024,7318,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,VIJAY.LAL@NASHVILLE.GOV
Journal: $123.41 (20250228) ,Journal Import Created,53902028.501104.0.R.R240490.30216.053.0.0.0,53902028.501104.0.R.R240490.30216.053.0.0.0,160275,Journal,,160275,$123.41,,,53902028,30216,2/28/2025,2/28/2025,,$123.41,R,4% Resolution,R240490,Journal Batch,BW Costing Main 03072025 Payroll A 304252 8003902,2/28/2025,7089,,"""""",,,,,53902028,Overtime Pay,Overtime Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $11418.61 (20250214) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,158616,Journal,,158616,$11418.61,,,53902028,30216,2/14/2025,2/14/2025,,$11418.61,R,4% Resolution,R240490,Journal Batch,BW Costing 022125 Main Payroll A 303717 7912998,2/14/2025,6565,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $23.64 (20250228) ,Journal Import Created,53902028.501176.0.R.R240490.30216.053.0.0.0,53902028.501176.0.R.R240490.30216.053.0.0.0,160275,Journal,,160275,$23.64,,,53902028,30216,2/28/2025,2/28/2025,,$23.64,R,4% Resolution,R240490,Journal Batch,BW Costing Main 03072025 Payroll A 304252 8003902,2/28/2025,7094,,"""""",,,,,53902028,Employer Group Life,Employer Group Life,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $0.95 (20250131) ,Journal Import Created,53902028.501182.0.R.R240490.30216.053.0.0.0,53902028.501182.0.R.R240490.30216.053.0.0.0,158618,Journal,,158618,$0.95,,,53902028,30216,1/31/2025,1/31/2025,,$0.95,R,4% Resolution,R240490,Journal Batch,BW Costing 020725 Main Payroll A 303718 7913522,1/31/2025,7096,,"""""",,,,,53902028,Cafe Plan Pre-Tax Savings,Cafe Plan Pre-Tax Savings,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $160.99 (20250411) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,163397,Journal,,163397,$160.99,,,53902028,30216,4/11/2025,4/11/2025,,$160.99,R,4% Resolution,R240490,Journal Batch,BW Costing 041825 Main Payroll A 305486 8189060,4/11/2025,6534,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $0.95 (20250228) ,Journal Import Created,53902028.501182.0.R.R240490.30216.053.0.0.0,53902028.501182.0.R.R240490.30216.053.0.0.0,160275,Journal,,160275,$0.95,,,53902028,30216,2/28/2025,2/28/2025,,$0.95,R,4% Resolution,R240490,Journal Batch,BW Costing Main 03072025 Payroll A 304252 8003902,2/28/2025,7095,,"""""",,,,,53902028,Cafe Plan Pre-Tax Savings,Cafe Plan Pre-Tax Savings,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $77.5 (20250131) ,Journal Import Created,53902028.501104.0.R.R240490.30216.053.0.0.0,53902028.501104.0.R.R240490.30216.053.0.0.0,158618,Journal,,158618,$77.50,,,53902028,30216,1/31/2025,1/31/2025,,$77.50,R,4% Resolution,R240490,Journal Batch,BW Costing 020725 Main Payroll A 303718 7913522,1/31/2025,7089,,"""""",,,,,53902028,Overtime Pay,Overtime Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $1141.88 (20250606) ,Journal Import Created,53902028.501103.0.R.R240490.30216.053.0.0.0,53902028.501103.0.R.R240490.30216.053.0.0.0,168467,Journal,,168467,$1141.88,,,53902028,30216,6/6/2025,6/6/2025,,$1141.88,R,4% Resolution,R240490,Journal Batch,BW Costing 061325 Main Payroll A 306919 8467339,6/6/2025,7108,,"""""",,,,,53902028,Holiday Pay,Holiday Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $686.41 (20250620) ,Journal Import Created,53902028.501172.0.R.R240490.30216.053.0.0.0,53902028.501172.0.R.R240490.30216.053.0.0.0,168384,Journal,,168384,$686.41,,,53902028,30216,6/20/2025,6/20/2025,,$686.41,R,4% Resolution,R240490,Journal Batch,BW Costing 062725 Main Payroll A 306899 8463802,6/20/2025,6950,,"""""",,,,,53902028,Employer OASDI,Employer OASDI,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $0.95 (20250620) ,Journal Import Created,53902028.501182.0.R.R240490.30216.053.0.0.0,53902028.501182.0.R.R240490.30216.053.0.0.0,168384,Journal,,168384,$0.95,,,53902028,30216,6/20/2025,6/20/2025,,$0.95,R,4% Resolution,R240490,Journal Batch,BW Costing 062725 Main Payroll A 306899 8463802,6/20/2025,6956,,"""""",,,,,53902028,Cafe Plan Pre-Tax Savings,Cafe Plan Pre-Tax Savings,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $0.95 (20250509) ,Journal Import Created,53902028.501182.0.R.R240490.30216.053.0.0.0,53902028.501182.0.R.R240490.30216.053.0.0.0,165703,Journal,,165703,$0.95,,,53902028,30216,5/9/2025,5/9/2025,,$0.95,R,4% Resolution,R240490,Journal Batch,BW Costing 051625 Main Payroll A 306143 8310732,5/9/2025,6651,,"""""",,,,,53902028,Cafe Plan Pre-Tax Savings,Cafe Plan Pre-Tax Savings,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $8469.05 (20241220) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,155238,Journal,,155238,$8469.05,,,53902028,30216,12/20/2024,12/20/2024,,$8469.05,R,4% Resolution,R240490,Journal Batch,BW Costing 122724 Main Payroll A 301668 7698499,12/20/2024,6726,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $64.22 (20250314) ,Journal Import Created,53902028.501175.0.R.R240490.30216.053.0.0.0,53902028.501175.0.R.R240490.30216.053.0.0.0,161243,Journal,,161243,$64.22,,,53902028,30216,3/14/2025,3/14/2025,,$64.22,R,4% Resolution,R240490,Journal Batch,BW Costing 032125 Main Payroll A 304539 8064797,3/14/2025,6572,,"""""",,,,,53902028,Employer Dental Group,Employer Dental Group,Payroll,,,"""""",7/9/2025 9:10am,Payroll,VIJAY.LAL@NASHVILLE.GOV
Journal: $25.76 (20250214) ,Journal Import Created,53902028.501176.0.R.R240490.30216.053.0.0.0,53902028.501176.0.R.R240490.30216.053.0.0.0,158616,Journal,,158616,$25.76,,,53902028,30216,2/14/2025,2/14/2025,,$25.76,R,4% Resolution,R240490,Journal Batch,BW Costing 022125 Main Payroll A 303717 7912998,2/14/2025,6570,,"""""",,,,,53902028,Employer Group Life,Employer Group Life,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $41.17 (20250103) ,Journal Import Created,53902028.501175.0.R.R240490.30216.053.0.0.0,53902028.501175.0.R.R240490.30216.053.0.0.0,157009,Journal,,157009,$41.17,,,53902028,30216,1/3/2025,1/3/2025,,$41.17,R,4% Resolution,R240490,Journal Batch,BW Costing 011025 Main Payroll A 303189 7814566,1/3/2025,7461,,"""""",,,,,53902028,Employer Dental Group,Employer Dental Group,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $8067.46 (20241122) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,153269,Journal,,153269,$8067.46,,,53902028,30216,11/22/2024,11/22/2024,,$8067.46,R,4% Resolution,R240490,Journal Batch,BW Costing 112724 Main Payroll A 301024 7572206,11/22/2024,7098,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $1141.88 (20250228) ,Journal Import Created,53902028.501103.0.R.R240490.30216.053.0.0.0,53902028.501103.0.R.R240490.30216.053.0.0.0,160275,Journal,,160275,$1141.88,,,53902028,30216,2/28/2025,2/28/2025,,$1141.88,R,4% Resolution,R240490,Journal Batch,BW Costing Main 03072025 Payroll A 304252 8003902,2/28/2025,7088,,"""""",,,,,53902028,Holiday Pay,Holiday Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $0.79 (20250117) ,Journal Import Created,53902028.501182.0.R.R240490.30216.053.0.0.0,53902028.501182.0.R.R240490.30216.053.0.0.0,157397,Journal,,157397,$0.79,,,53902028,30216,1/17/2025,1/17/2025,,$0.79,R,4% Resolution,R240490,Journal Batch,BW Costing 012425 Main Payroll A 303314 7840208,1/17/2025,6516,,"""""",,,,,53902028,Cafe Plan Pre-Tax Savings,Cafe Plan Pre-Tax Savings,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $1792.8 (20241206) ,Journal Import Created,53902028.501103.0.R.R240490.30216.053.0.0.0,53902028.501103.0.R.R240490.30216.053.0.0.0,154422,Journal,,154422,$1792.80,,,53902028,30216,12/6/2024,12/6/2024,,$1792.80,R,4% Resolution,R240490,Journal Batch,BW Costing 121324 Main Payroll A 301415 7639834,12/6/2024,7316,,"""""",,,,,53902028,Holiday Pay,Holiday Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,VIJAY.LAL@NASHVILLE.GOV
Journal: $1148.81 (20250606) ,Journal Import Created,53902028.501177.0.R.R240490.30216.053.0.0.0,53902028.501177.0.R.R240490.30216.053.0.0.0,168467,Journal,,168467,$1148.81,,,53902028,30216,6/6/2025,6/6/2025,,$1148.81,R,4% Resolution,R240490,Journal Batch,BW Costing 061325 Main Payroll A 306919 8467339,6/6/2025,7114,,"""""",,,,,53902028,Employer Pension,Employer Pension,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $10276.73 (20250228) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,160275,Journal,,160275,$10276.73,,,53902028,30216,2/28/2025,2/28/2025,,$10276.73,R,4% Resolution,R240490,Journal Batch,BW Costing Main 03072025 Payroll A 304252 8003902,2/28/2025,7087,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $59.56 (20250228) ,Journal Import Created,53902028.501175.0.R.R240490.30216.053.0.0.0,53902028.501175.0.R.R240490.30216.053.0.0.0,160275,Journal,,160275,$59.56,,,53902028,30216,2/28/2025,2/28/2025,,$59.56,R,4% Resolution,R240490,Journal Batch,BW Costing Main 03072025 Payroll A 304252 8003902,2/28/2025,7093,,"""""",,,,,53902028,Employer Dental Group,Employer Dental Group,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $11173.13 (20250314) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,161243,Journal,,161243,$11173.13,,,53902028,30216,3/14/2025,3/14/2025,,$11173.13,R,4% Resolution,R240490,Journal Batch,BW Costing 032125 Main Payroll A 304539 8064797,3/14/2025,6566,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,VIJAY.LAL@NASHVILLE.GOV
Journal: $160.54 (20250509) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,165703,Journal,,165703,$160.54,,,53902028,30216,5/9/2025,5/9/2025,,$160.54,R,4% Resolution,R240490,Journal Batch,BW Costing 051625 Main Payroll A 306143 8310732,5/9/2025,6646,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
